	English						
mission.Shedu_Corp_Ritual1.details	<color=#FFFEC1>Details:</color> Warriors of the <color=#FFFEC1>Shedu's Thousand</color> know how the quasimorphic servants of <color=#FFFEC1>Gagtungr</color> maintain contact with physical reality. But this requires constant effort. An influx of gavvakh, reliquaries, and regular rituals that extract energy from the bramfaturas of the planets are needed.<br><br><color=#FFFEC1>Urparp</color> senses that the influence of the bramfatura has reached its peak at %STATION_NAME%. It's time for the ritual. However, %VICTIM_NAME%, which controls the station, stands in the way.<br><br>The <color=#FFFEC1>Shedu's Thousand<color=#FFFEC1> calls on all available forces to ensure the Duke has the opportunity to perform the sacred ceremony. We have to <color=#FFFEC1>hold the defense</color> until the ritual is completed.						
mission.Shedu_Corp_Ritual1.briefing	The army of <color=#FFFEC1>Gagtungr</color> cannot remain idle, the ritual must be completed at any cost. %STATION_NAME% is under the control of %VICTIM_NAME%, and it will not retreat without a fight. <color=#FFFEC1>Your task</color>: make your way to the ritual site and hold the position until the end. No matter what goes wrong, you have to hold out.						
mission.Shedu_Corp_Ritual1.objective0	<color=#FFFEC1>Task:</color> Get to the ritual site and protect it.						
mission.Shedu_Corp_Ritual1.after	Good job, the <color=#FFFEC1>Shedu's Thousand</color> is extremely pleased. The ritual was completed successfully. The army of <color=#FFFEC1>Gagtungr</color> can operate in this part of the Solar System and beyond. They handed the reward to Magnum.						
mission.Shedu_Corp_Defense1.desc	<color=#FFFEC1>Task:</color> Repel the attack on %STATION_NAME%.						
mission.Shedu_Corp_Defense1.details	<color=#FFFEC1>Details:</color> %BENEFICIARY_NAME% firmly holds %STATION_NAME%. This bastion of theirs in physical reality is evidence that the Solar System is returning under the control of its ancient masters. However, people have not yet understood which side to take.<br><br>%BENEFICIARY_NAME% wants us to defend %STATION_NAME% from the attack by %VICTIM_NAME%. It needs a bright event to advertise in the <color=#FFFEC1>SBN</color>. Of course, the corporation will not say that it seized the asset from the quasimorphs, it will lie about the <color=#FFFEC1>Civil Resistance</color>. <color=#FFFEC1>Our task</color>: to make sure that it won't get what it wants.						
mission.Shedu_Corp_Defense1.briefing	The attackers have already penetrated the perimeter of %STATION_NAME%. We have not yet understood whether it is <color=#FFFEC1>Security Service</color> or <color=#FFFEC1>PMC</color>. But it shouldn't make much difference to you. We'll drop you off in the main strike zone. As soon as you find your feet, <color=#FFFEC1>take up defensive position</color>. Sooner or later the attackers will retreat, you just need to hold out for enough time.						
mission.Shedu_Corp_Defense1.objective0	<color=#FFFEC1>Task:</color> Repel the attack on %STATION_NAME%.						
mission.Shedu_Corp_Defense1.after	%STATION_NAME% was and remains a symbol that the order of the Solar System has changed forever. The <color=#FFFEC1>Hexarchy</color> will not be able to hide the truth forever. Lying will not help them when %BENEFICIARY_NAME% strikes back. A valuable gift from it arrived on Magnum, which will greatly help us in the future.						
mission.Shedu_Corp_Escort1.desc	<color=#FFFEC1>Task:</color> Escort the Duke of %BENEFICIARY_NAME% to the safe location.						
mission.Shedu_Corp_Escort1.details	<color=#FFFEC1>Details:</color> %VICTIM_NAME% has launched activities around %STATION_NAME%. However, the station is in the hands of %BENEFICIARY_NAME%. The rightful owners of the Solar System will not give up so easily. And %VICTIM_NAME% understands this. It seems that it is preparing an action to eliminate the <color=#FFFEC1>Duke</color> of %BENEFICIARY_NAME%.<br><br>The quasimorphs call on their faithful servants to fulfill their sacred duty. If we want to strengthen our relationship with %BENEFICIARY_NAME%, we must take on the role of the Duke's personal guard. We need to <color=#FFFEC1>escort</color> it to the safe location on the station and protect it from attacks by fighters of %VICTIM_NAME%.						
mission.Shedu_Corp_Escort1.briefing	%BENEFICIARY_NAME% has called us for a specific purpose: <color=#FFFEC1>escort the Duke to safety</color> at %STATION_NAME%. Corporations send their best fighters into battle against quasimorphs, so save your strength.						
mission.Shedu_Corp_Escort1.objective0	<color=#FFFEC1>Task:</color> Escort the Duke of %BENEFICIARY_NAME% to the safe location.						
mission.Shedu_Corp_Escort1.after	The envoys of %BENEFICIARY_NAME% conveyed to us the praise of the <color=#FFFEC1>Duke</color> and called for the expansion of allied relations. If we work for the future winner now, we will take a worthy place in the future new hierarchy of the Solar System.						
mission.Shedu_Corp_Control1.desc	<color=#FFFEC1>Task:</color> Protect the <color=#FFFEC1>reliquary</color> of %BENEFICIARY_NAME%.						
mission.Shedu_Corp_Control1.details	<color=#FFFEC1>Details:</color> %BENEFICIARY_NAME% has long held %STATION_NAME%. Presumably, the station is built into some kind of system that allows quasimorphs to stay in physical reality. %VICTIM_NAME% found out about this and decided to attack. Its target is the <color=#FFFEC1>reliquary</color>. %BENEFICIARY_NAME% will be grateful to us if we protect it.						
mission.Shedu_Corp_Control1.briefing	Mercenaries from %VICTIM_NAME% are already attacking %STATION_NAME%. You need to <color=#FFFEC1>protect the reliquary</color>. Eliminate the attackers before they destroy the artifact.						
mission.Shedu_Corp_Control1.objective0	<color=#FFFEC1>Task:</color> You need to <color=#FFFEC1>protect the reliquary</color> - a quasimorphic artifact similar to a statue or obelisk.						
mission.Shedu_Corp_Control1.after	The meeting with quasimorphs from %BENEFICIARY_NAME% took place. The cargo has been received. <color=#FFFEC1>Creepy</color> creatures, but I think I'm starting to get used to them.						
mission.Shedu_Corp_Infiltration1.desc	<color=#FFFEC1>Task:</color> Eliminate all infiltration teams.						
mission.Shedu_Corp_Infiltration1.details	<color=#FFFEC1>Details:</color> %VICTIM_NAME% conducts operations related to %STATION_NAME%. The object has long been in the hands of %BENEFICIARY_NAME%.<br><br>We have recognized the signature of an <color=#FFFEC1>igvalite</color> emanating from the station. It is a quasimorphic artifact capable of accumulating gavvakh. It seems that %BENEFICIARY_NAME% is using this place to store energy.<br><br>We can get here before the attackers and eliminate the infiltration teams of %VICTIM_NAME%. If we do this, the future owners of the Solar System will be extremely generous.						
mission.Shedu_Corp_Infiltration1.briefing	Several infiltration teams from %VICTIM_NAME% have already infiltrated %STATION_NAME%. You need to find them and eliminate them before they take over the <color=#FFFEC1>igvalite</color>. %BENEFICIARY_NAME% is ready to give out a really good reward for this rock.<br><br>I hope we chose the right side, <color=#FFFEC1>Boss</color>.						
mission.Shedu_Corp_Infiltration1.objective0	<color=#FFFEC1>Task:</color> Eliminate all infiltration teams.						
mission.Shedu_Corp_Infiltration1.after	The meeting with quasimorphs from %BENEFICIARY_NAME% took place. This is a good deal: a rock that is useless to us in exchange for something that actually works.						
mission.Shedu_Tezctlan_RaiderCapture1.desc	<color=#FFFEC1>Task:</color> Eliminate <color=#FFFEC1>50% of the defenders</color> of %STATION_NAME%.						
mission.Shedu_Tezctlan_RaiderCapture1.details	<color=#FFFEC1>Details:</color> The <color=#FFFEC1>Shedu's Thousand</color> appeared here to return the Solar System to <color=#FFFEC1>Gagtungr</color>. Now the warriors of <color=#FFFEC1>Urparp</color> are looking for anyone who will capture %STATION_NAME% for them in order to turn this place into another bastion of the future Golden Empire. It is in the hands of %VICTIM_NAME%. These upstarts must be expelled from physical reality forever.<br><br>We will crush them, and <color=#FFFEC1>Gagtungr</color> will turn his attention to us.						
mission.Shedu_Tezctlan_RaiderCapture1.briefing	We don't know how some quasimorphs remain in our reality, while the majority are always attracted by their bramfaturas. I want to say that %STATION_NAME% is simply teeming with warriors of %VICTIM_NAME%. Sensors show that they are aware of the attack and are waiting for your arrival.<br><br>Proceed methodically, do not take unnecessary risks. <color=#FFFEC1>Kill enough and the survivors will run</color>. At the end of the mission, as soon as you leave the facility, the <color=#FFFEC1>Shedu's Thousand</color> will send its duke.						
mission.Shedu_Tezctlan_RaiderCapture1.objective0	<color=#FFFEC1>Task:</color> Eliminate <color=#FFFEC1>50% of the defenders</color> of %STATION_NAME%.						
mission.Shedu_Tezctlan_RaiderCapture1.after	Soldiers of the <color=#FFFEC1>Shedu's Thousand</color> settle in %STATION_NAME%. They are pleased with our success. Soon <color=#FFFEC1>Gagtungr</color> will awaken and turn his benevolent gaze on us. Something extremely valuable has already been transferred to Magnum.						
mission.Shedu_Tezctlan_Elimination1.desc	<color=#FFFEC1>Task:</color> Eliminate the <color=#FFFEC1>Duke</color> of %VICTIM_NAME%.						
mission.Shedu_Tezctlan_Elimination1.details	<color=#FFFEC1>Details:</color> %VICTIM_NAME% captured %STATION_NAME%. The <color=#FFFEC1>Shedu's Thousand</color> wants to teach these rebels a lesson. The will of <color=#FFFEC1>Gagtungr</color> must be fulfilled. <color=#FFFEC1>The Duke</color> of %VICTIM_NAME% is currently located in this location. It is preparing quasimorphs to attack the stations captured by the <color=#FFFEC1>Shedu's Thousand</color>.<br><br>We eliminate the Duke, and <color=#FFFEC1>Gagtungr</color> will treat his new servants favorably, when he wakes up.						
mission.Shedu_Tezctlan_Elimination1.briefing	We'll drop you off wherever we can. <color=#FFFEC1>Kill the Duke</color>. Don't try to be a hero and clear out the entire %STATION_NAME%. Don't take unnecessary risks, save your strength. I send the target location to your map. Good luck.						
mission.Shedu_Tezctlan_Elimination1.objective0	<color=#FFFEC1>Task:</color> Eliminate the <color=#FFFEC1>Duke</color> of %VICTIM_NAME%.						
mission.Shedu_Tezctlan_Elimination1.after	The <color=#FFFEC1>Shedu's Thousand</color> were satisfied. Their gift for our obedience awaits us in the Magnum’s cargo hold.						
mission.Shedu_Tezctlan_Sabotage1.desc	<color=#FFFEC1>Task:</color> Destroy the quasimorphic artifact at %STATION_NAME%.						
